startup,industry,funding_stage,amount_usd,description,year_found,founders,investors,funding_year,city,state,country
GoodGamer,Media & Entertainment,Early Traction,2500000.0,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020.0,Charles Creighton,Not recorded,2020,Bengaluru,Karnataka,India
InnAccel,IT & Technology,Scaling,1500000.0,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2012.0,Siraj Dhanani,Mount Judi Ventures,2020,Bengaluru,Karnataka,India
Tiliter,Online Retail,Not classified,7500000.0,Software that uses computer vision to recognise products without barcodes,2017.0,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",2020,Sydney,New South Wales,Australia
Slintel,Media & Entertainment,Not classified,4200000.0,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2016.0,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",2020,San Francisco,California,United States
SoOLEGAL,IT & Technology,Not classified,4000000.0,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2015.0,Manish Kaul,Not recorded,2020,NCT Delhi,National Capital Territory,India
HobSpace,IT & Technology,Early Traction,200000.0,India's Activity Hub for Kids,2019.0,"Priya Goel Sheth, Harsh Jain",Artha Venture,2020,Mumbai,Maharashtra,India
Supplynote,Online Retail,Early Traction,500000.0,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2015.0,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",2020,Noida,Uttar Pradesh,India
Hire Me Car,Online Retail,Early Traction,3000000.0,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2017.0,Pankaj Sharma,Not recorded,2020,Noida,Uttar Pradesh,India
ShopUp,Online Retail,Scaling,22000000.0,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2017.0,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",2020,Bangladesh,Bangladesh,Bangladesh
Harmonizer India,IT & Technology,Not classified,3000000.0,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2019.0,M R Srinivas,Kapil Dev,2020,Bengaluru,Karnataka,India
Zomato,IT & Technology,Not classified,52000000.0,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2008.0,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",2020,Gurugram,Haryana,India
Dukaan,IT & Technology,Early Traction,6000000.0,Developer of an android application designed for businesses to sell online.,2020.0,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",2020,Mumbai,Maharashtra,India
CredR,Online Retail,Not classified,2000000.0,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2014.0,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2020,Mumbai,Maharashtra,India
Satyukt,IT & Technology,Early Traction,500000.0,An agritech company that provides business to business (B2B) agricultural data,2018.0,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",2020,Bengaluru,Karnataka,India
RACEnergy,Online Retail,Not classified,3000000.0,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2018.0,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)",2020,Hyderabad,Telangana,India
TREAD,Sports,Validation,1100000.0,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020.0,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",2020,Bengaluru,Karnataka,India
Anveshan,IT & Technology,Validation,100000.0,Provide quality and healthy food products,2019.0,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,2020,Bengaluru,Karnataka,India
TeaMonk,Online Retail,Scaling,900000.0,India's Finest Specialty Tea company.,2016.0,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",2020,Bengaluru,Karnataka,India
Fleetx,IT & Technology,Scaling,3000000.0,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2017.0,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",2020,Gurugram,Haryana,India
ReNEWate,Online Retail,Validation,3000000.0,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2018.0,Supratik Ghatak,Real Estate Accelerator Program,2020,Pune,Maharashtra,India
Tango Eye,Online Retail,Early Traction,3000000.0,Retail Video Analytics SaaS product,2018.0,Surender Gounder,"Riso Investments, Lenskart",2020,Chennai,Tamil Nadu,India
Rare Planet,Online Retail,Scaling,3000000.0,Rare Planet sells handicrafts made by local artisans.,2015.0,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,2020,Kolkata,West Bengal,India
Avataa Me,Online Retail,Scaling,7000000.0,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2014.0,Gaurav Baid,Sequoia Capital India,2020,Bengaluru,Karnataka,India
Arrival,Online Retail,Not classified,118000000.0,Arrival is a technology company that specializes in developing electric vehicles.,2015.0,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company",2020,London,England,United Kingdom
Cover Genius,IT & Technology,Not classified,15000000.0,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2014.0,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital",2020,Sydney,New South Wales,Australia
Phononic Vibes,IT & Technology,Not classified,2300000.0,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2018.0,"Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",Not recorded,2020,Milano,Lombardy,Italy
MikeLegal,IT & Technology,Early Traction,3000000.0,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2017.0,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian",2020,Gurugram,Haryana,India
Clair,IT & Technology,Early Traction,4500000.0,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,2019.0,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",2020,New York,New York,United States
Gourmet Garden,Consumer Goods,Not classified,3000000.0,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,1999.0,Arjun Balaji,Advent Partners,2020,Palmwoods,Queensland,Australia
Miko,Online Retail,Scaling,3000000.0,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2015.0,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",2020,Mumbai,Maharashtra,India
Razorpay,IT & Technology,Scaling,100000000.0,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2014.0,"Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",2020,Bengaluru,Karnataka,India
Ninjacart,Online Retail,Not classified,30000000.0,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2015.0,"Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart",2020,Bengaluru,Karnataka,India
Wow! Momo,Online Retail,Exit Options,5000000.0,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2008.0,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",2020,Kolkata,West Bengal,India
Pepper Content,Online Retail,Scaling,4200000.0,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2017.0,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",2020,Mumbai,Maharashtra,India
LIVSPACE,Online Retail,Exit Options,4000000.0,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2014.0,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",2020,Bengaluru,Karnataka,India
Acculi Labs,Healthcare & Life Sciences,Early Traction,600000.0,Acculi Labs is a clinical grade smartphone based diagnostic tool,2017.0,"HariPrasath M., Rupam Das",Startup Basket.,2020,Bengaluru,Karnataka,India
Your MD,Healthcare & Life Sciences,Not classified,25000000.0,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2012.0,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital",2020,London,England,United Kingdom
Antaios,IT & Technology,Not classified,11000000.0,Developer of memory-based technology intended to solve issues of advanced computing.,2016.0,Jean Pierre Nozieres,Not recorded,2020,France,France,France
Unnati,IT & Technology,Scaling,1700000.0,A helping hand to the farming community through Artificial Intelligence,2017.0,"Amit Sinha, Ashok Prasad",NABVENTURES,2020,Noida,Uttar Pradesh,India
Disprz,IT & Technology,Scaling,1600000.0,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2015.0,"Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital",2020,Chennai,Tamil Nadu,India
Uni,IT & Technology,Early Traction,18500000.0,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,2017.0,Nitin Gupta,"Lightspeed India Partners, Accel India",2020,Mumbai,Maharashtra,India
Credit Wise Capital,IT & Technology,Early Traction,6000000.0,CreditWise Capital is a consumer finance company.,1994.0,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,2020,Mumbai,Maharashtra,India
Chargebee,Online Retail,Scaling,55000000.0,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2011.0,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",2020,San Francisco,California,United States
Reliance Retail Ventures Ltd,Online Retail,Not classified,70000000000.0,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2006.0,Mukesh Ambani,"Silver Lake, Mubadala Investment Company",2020,Mumbai,Maharashtra,India
Winuall,IT & Technology,Not classified,2000000.0,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2019.0,"Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani",2020,Bengaluru,Karnataka,India
Genrobotics,Online Retail,Not classified,300000.0,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2015.0,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,2020,Thiruvananthapuram,Kerala,India
Livve,Online Retail,Early Traction,1500000.0,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2015.0,Maya Lakshman,Not recorded,2020,Kochi,Kerala,India
Ergos,IT & Technology,Scaling,5000000.0,Ergos is building an integrated supply chain by setting up micro warehouses.,2012.0,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",2020,Samastipur,Bihar,India
Krishitantra,IT & Technology,Early Traction,1000000.0,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2017.0,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",2020,Hyderabad,Telangana,India
PakkaProfile,Online Retail,Early Traction,3000000.0,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2019.0,"Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,2020,Bengaluru,Karnataka,India
Monet Networks,Online Retail,Exit Options,500000.0,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2014.0,Anurag Bist,"SenseAI Ventures, EvoNexus",2020,Irvine,California,United States
Unocoin,IT & Technology,Scaling,3000000.0,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2013.0,"Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub",2020,Tumkur,Karnataka,India
Pesto,IT & Technology,Not classified,3000000.0,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2017.0,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",2020,NCT Delhi,National Capital Territory,India
NirogStreet,IT & Technology,Scaling,2000000.0,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2016.0,Ram N Kumar,"Wavemaker Partners, Subho Ray",2020,Gurugram,Haryana,India
Bambrew,Online Retail,Validation,3000000.0,Bambrew is an online shop for reusable bamboo straws.,2018.0,Vaibhav Anant,Upsparks,2020,Bengaluru,Karnataka,India
Omnify,Online Retail,Scaling,3000000.0,Omnify is a Global SaaS platform for Small Services Business,2016.0,"Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma",2020,San Francisco,California,United States
Fanball XI,Media & Entertainment,Early Traction,1000000.0,The gaming company mostly focused on fantasy football games,2017.0,Vinayak Seth,Foxhog Ventures,2020,NCT Delhi,National Capital Territory,India
Treebo Hotels,Healthcare & Life Sciences,Not classified,6000000.0,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",2015.0,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",2020,Bengaluru,Karnataka,India
GPS Renewables,IT & Technology,Scaling,3000000.0,To solve the urban waste problem by utilising local technologies and business models.,2010.0,"Mainak, Sreekrishna","Triodos, Caspian",2020,Bengaluru,Karnataka,India
Public,Media & Entertainment,Not classified,30000000.0,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,2019.0,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",2020,NCT Delhi,National Capital Territory,India
Legal Salah,IT & Technology,Early Traction,1000000.0,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,2015.0,CA Abhinit Singh,I2I Capitals,2020,Kolkata,West Bengal,India
FanPlay,Media & Entertainment,Early Traction,3000000.0,FanPlay Technologies operates as a real-money gaming startup.,2018.0,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",2020,NCT Delhi,National Capital Territory,India
ECOSTP,Online Retail,Not classified,19000000.0,Eco friendly zero power zero maintenance sewage treatment plant in India.,2017.0,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,2020,Bengaluru,Karnataka,India
Coralogix,Online Retail,Scaling,25000000.0,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2013.0,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",2020,San Francisco,California,United States
Equiwatt,IT & Technology,Not classified,300000.0,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,2015.0,"Johnson Fernandes, Ravneet Kaur",Rising Stars,2020,Newcastle upon Tyne,England,United Kingdom
Reliance Retail Ventures,Online Retail,Not classified,800000000.0,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2006.0,Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts",2020,Mumbai,Maharashtra,India
Zhangmen,IT & Technology,Not classified,400000000.0,Zhangmen is an online tutoring platform provides tutoring courses to students.,2005.0,Yi Zhang,"CICC Alpha, VMS Asset Management",2020,Shanghai,East China,China
AgroWave,IT & Technology,Not classified,500000.0,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2017.0,Anu Meena,Sekhar Puli,2020,Gurugram,Haryana,India
Sapio Analytics,IT & Technology,Not classified,150000.0,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2018.0,"Ashwin Srivastava, Hardik Somani",Not recorded,2020,Mumbai,Maharashtra,India
Taimei,Healthcare & Life Sciences,Not classified,176000000.0,Taimei Technology provides a cloud platform for clinical research collaboration.,2013.0,Lu Zhao,"Cowin Venture, ZSVC",2020,Jiaxing,Zheijang,China
Avanse Financial Services,IT & Technology,Not classified,15000000.0,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",2012.0,Amit Gainda,International Finance Corporation,2020,Mumbai,Maharashtra,India
Industry Buying,Online Retail,Not classified,15000000.0,India's largest industrial ecommerce platform,2013.0,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT",2020,NCT Delhi,National Capital Territory,India
Hopscotch,Online Retail,Not classified,25000000.0,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",2011.0,Rahul Anand,"Marc Lore, Rise Capital",2020,Mumbai,Maharashtra,India
Pristyn Care,Healthcare & Life Sciences,Not classified,11000000.0,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,2018.0,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",2020,Gurugram,Haryana,India
WoodenStreet,Online Retail,Not classified,1000000.0,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2015.0,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund",2020,Not Recorded,Not Recorded,India
ACKO,IT & Technology,Not classified,60000000.0,Acko General Insurance is a private sector general insurance company in India.,2016.0,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures",2020,Mumbai,Maharashtra,India
Farmers Fresh Zone,IT & Technology,Not classified,470000.0,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2015.0,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",2020,Kochi,Kerala,India
Invento,Online Retail,Not classified,3000000.0,Invento Robotics specializes in developing service robots intended for customer interactions.,2016.0,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",2020,Bengaluru,Karnataka,India
Infurnia,IT & Technology,Not classified,240000.0,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2014.0,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",2020,Bengaluru,Karnataka,India
AnalytIQSports's SuperCric,Online Retail,Not classified,3000000.0,SuperCric is India's first strategy Cricket Manager simulation game,2019.0,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",Not recorded,2020,Bengaluru,Karnataka,India
Snowflake,IT & Technology,Not classified,3000000000.0,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,2012.0,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group",2020,California,California,United States
GenieTalk,IT & Technology,Not classified,750000.0,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,2016.0,"Santosh Kataria, Ankit Kimtee, Vivek Jain",Not recorded,2020,Indore,Madhya Pradesh,India
Classplus,IT & Technology,Not classified,10000000.0,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,2018.0,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",2020,Noida,Uttar Pradesh,India
Mobile Premier League,Online Retail,Not classified,74000000.0,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",2020,Bengaluru,Karnataka,India
Fourth Partner Energy,Online Retail,Not classified,16000000.0,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,2010.0,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",2020,Hyderabad,Telangana,India
Flipkart,Online Retail,Not classified,62000000.0,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,2007.0,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",2020,Bengaluru,Karnataka,India
Vivriti Capital,IT & Technology,Not classified,1000000.0,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,2017.0,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",2020,Chennai,Tamil Nadu,India
InsuranceDekho,IT & Technology,Not classified,20000000.0,The funding for branding and marketing activities as well as strengthening the product and technology teams,2017.0,Ankit Agrawal,GirnarSoft,2020,Ludhiana,Punjab,India
BestDoc,Healthcare & Life Sciences,Not classified,2100000.0,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,2016.0,"Afsal Salu, Fayaz Bin Abdu, Soudabi",Not recorded,2020,Kochi,Kerala,India
Byju’s,IT & Technology,Not classified,500000000.0,An Indian educational technology and online tutoring firm,2011.0,Byju Raveendran,"Owl Ventures, Tiger Global Management",2020,Bengaluru,Karnataka,India
Melorra,Online Retail,Not classified,12500000.0,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,2015.0,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",2020,Bengaluru,Karnataka,India
Reliance,Online Retail,Not classified,2200000000.0,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",1973.0,Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake",2020,Mumbai,Maharashtra,India
Inflexor Ventures,IT & Technology,Not classified,10000000.0,Experienced Venture Capital-General Partner focused on Technology investments.,2020.0,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",Not recorded,2020,Mumbai,Maharashtra,India
Pandorum,IT & Technology,Not classified,5060000.0,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,2011.0,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",2020,Bengaluru,Karnataka,India
SpeakIn,Online Retail,Not classified,3000000.0,"AI-enabled network of speakers and thought leaders, aka. experts",2018.0,Deepshikha Kumar,Homage Ventures.,2020,Noida,Uttar Pradesh,India
LetsUp,Online Retail,Not classified,3000000.0,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",2015.0,Suhas raikar,Not recorded,2020,Mumbai,Maharashtra,India
Newsreach,Online Retail,Not classified,3000000.0,NewsReach India offers partner publications a digital footprint,2018.0,"Darshan Shah, Soniya Kundnani",Mumbai Angels,2020,Gujarat,Gujarat,India
Dream11,Online Retail,Not classified,225000000.0,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,2008.0,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",2020,Mumbai,Maharashtra,India
SignalX,Online Retail,Not classified,750000.0,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",2018.0,Govind Balachandran,Not recorded,2020,Hyderabad,Telangana,India
JetSynthesys,IT & Technology,Not classified,40000000.0,Gaming and entertainment startup,2012.0,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan",2020,Mumbai,Maharashtra,India
Vesta Space Technology,IT & Technology,Not classified,10000000.0,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,2018.0,Arun Kumar Sureban,Not recorded,2020,Pune,Maharashtra,India
Dozee,IT & Technology,Not classified,1600000.0,Dozee offers health and wellness monitoring products.,2015.0,Gaurav Parchani,Not recorded,2020,Bengaluru,Karnataka,India
Rebel Foods,Online Retail,Not classified,50000000.0,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",2011.0,"Jaydeep Barman, Kallol Banerjee",Coatue Management,2020,Pune,Maharashtra,India
Nykaa,Consumer Goods,Not classified,24700000.0,Cosmetics & beauty products online,2012.0,Falguni Nayar,Steadview Capital,2020,Mumbai,Maharashtra,India
Ketto,Financial Services,Not classified,7700000.0,"Crowdfunding, Charity, E-commerce",2012.0,"Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital",2020,Mumbai,Maharashtra,India
Suryoday,Financial Services,Not classified,800000.0,Banks that extends two distinct fixed deposit schemes,2008.0,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",2020,Mumbai,Maharashtra,India
SucSEED,Financial Services,Not classified,1300000.0,Venture Partners,2016.0,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal",2020,Hyderabad,Telangana,India
Unacademy,IT & Technology,Not classified,150000000.0,Unacademy is an Indian online education technology company,2015.0,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital",2020,Bengaluru,Karnataka,India
Strata,Online Retail,Not classified,19067328.0,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",2019.0,"Lodha, Priyanka Rathore","Propstack, SAIF Partners",2020,Bengaluru,Karnataka,India
3one4 Capital,Online Retail,Not classified,100000000.0,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,2016.0,"Pranav Pai, Siddarth Pai",Not recorded,2020,Bengaluru,Karnataka,India
WE-Hub,Online Retail,Not classified,3000000.0,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2018.0,Deepthi Ravula,Not recorded,2020,Hyderabad,Telangana,India
Zomato,Online Retail,Not classified,62000000.0,Get online food delivery from restaurants near you,2008.0,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",2020,Haryana,Haryana,India
Vicara,IT & Technology,Not classified,3000000.0,A deep tech startup pioneering in motion-based interfaces and insights.,2017.0,"Abhishek Satish, Adarsh Warrier",Not recorded,2020,Bengaluru,Karnataka,India
Gaana,Online Retail,Not classified,51000000.0,Gaana is a commercial music streaming service providing free and licensed music.,2010.0,Pawan Agarwal,"Tencent Holdings, Times Internet",2020,Gurugram,Haryana,India
EM3 Agri,IT & Technology,Not classified,1000000.0,A pioneering organization in the farming-as-a service (FaaS) space,2013.0,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",2020,Noida,Uttar Pradesh,India
Plum,Consumer Goods,Not classified,115000.0,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",2013.0,Shankar Prasad,"Ronald Conway, Bay Partners",2020,Thane,Maharashtra,India
Odwen,Online Retail,Not classified,54000.0,India's first do-it-yourself warehouse management system.,2018.0,Vijay Anand Bhagavatula,Prospect Partners.,2020,Noida,Uttar Pradesh,India
Fasal,IT & Technology,Not classified,20000.0,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2018.0,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI",2020,Bengaluru,Karnataka,India
Trukky,Transportation & Logistics,Not classified,3000000.0,"Transportation, logistics services & cargo services.",2015.0,"Saswat Sahu, Rishi Raj",Mumbai Angels.,2020,Ahmedabad,Gujarat,India
BankBazaar,Financial Services,Not classified,9000000.0,Check your latest Credit Score and get your Credit Report online in India for Free,2008.0,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",2020,Chennai,Tamil Nadu,India
Specsmakers,Online Retail,Not classified,3000000.0,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",2011.0,Pratik Shah,Eight Roads Ventures,2020,Chennai,Tamil Nadu,India
Grinntech,IT & Technology,Not classified,2000000.0,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",2013.0,"Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan",2020,Dehradun,Uttarakhand,India
CreditMantri,Financial Services,Not classified,803146.0,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,2012.0,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",2020,Chennai,Tamil Nadu,India
Chai Waale,Online Retail,Not classified,238000.0,Given the rising trend in the number of tea stalls in the city,2018.0,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",2020,Chennai,Tamil Nadu,India
